,name,year,engine,transmission,fuel,ownership,distance_travelled,Price
0, Nissan MAGNITE,2021,XE,Manual,Petrol,1st Owner,18745,597000
1, Hyundai Elite i20,2015,MAGNA 1.2,Manual,Petrol,1st Owner,58583,500000
2, Hyundai Creta,2018,SX PLUS 1.6 PETROL,Manual,Petrol,1st Owner,81644,999000
3, Volkswagen Polo,2021,HIGHLINE PLUS 1.0L TSI AT,Automatic,Petrol,1st Owner,55053,944000
4, Hyundai Verna,2020,SX 1.5 VTVT,Manual,Petrol,1st Owner,15471,1033000
5, Hyundai Elite i20,2020,SPORTZ PLUS 1.2,Manual,Petrol,1st Owner,59999,673000
6, Hyundai i20,2013,ASTA 1.2,Manual,Petrol,2nd Owner,74743,397000
7, Mahindra Thar,2018,CRDE 4X4 AC,Manual,Diesel,2nd Owner,90305,751000
8, Toyota URBAN CRUISER,2021,MID GRADE AT,Automatic,Petrol,1st Owner,34750,935000
9, Renault Kwid,2022,CLIMBER MT 1.0,Manual,Petrol,1st Owner,6580,563000
10, Tata NEXON,2021,XZA PLUS PETROL DUAL TONE,Automatic,Petrol,2nd Owner,26086,991000
11, Maruti Celerio,2022,ZXI,Manual,Petrol,1st Owner,18977,555000
12, Maruti Baleno,2020,ZETA PETROL 1.2,Manual,Petrol,1st Owner,5878,761000
13, Honda Amaze,2019,1.2L I-VTEC S,Manual,Petrol,2nd Owner,37566,622000
14, Hyundai Verna,2011,FLUIDIC 1.6 CRDI SX,Manual,Diesel,2nd Owner,109452,358000
15, Tata Tiago,2018,XZ PETROL,Manual,Petrol,1st Owner,8280,534000
16, Maruti Baleno,2019,DELTA PETROL 1.2,Manual,Petrol,1st Owner,105614,630800
17, Ford Ecosport,2020,TITANIUM 1.5L DIESEL,Manual,Diesel,1st Owner,61602,893000
18, Honda WR-V,2018,1.2L I-VTEC VX MT,Manual,Petrol,1st Owner,67230,691000
19, Datsun Go,2016,T,Manual,Petrol,1st Owner,67429,294000
20, Maruti Alto,2011,LXI,Manual,Petrol,1st Owner,39109,186000
21, Hyundai Eon,2015,D-LITE+,Manual,Petrol,1st Owner,25121,287000
22, Maruti Wagon R 1.0,2013,VXI,Manual,Petrol,1st Owner,54959,326000
23, Datsun Redi Go,2017,T (O),Manual,Petrol,2nd Owner,65094,284000
24, Maruti Swift,2012,VXI,Manual,Petrol,3rd Owner,49438,410000
25, Tata Tiago,2020,XT PETROL,Manual,Petrol,2nd Owner,16295,531000
26, Hyundai Grand i10,2014,ASTA 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,59973,436000
27, Maruti Ciaz,2015,ZXI+,Manual,Petrol,1st Owner,113815,576000
28, Maruti Swift,2013,ZDI,Manual,Diesel,2nd Owner,69492,466000
29, Maruti Swift,2015,VXI,Manual,Petrol,1st Owner,59990,462000
30, Honda Amaze,2014,1.2L I-VTEC S,Manual,Petrol,2nd Owner,52597,413000
31, Renault Kwid,2018,CLIMBER 1.0,Manual,Petrol,1st Owner,41039,367000
32, Datsun Go,2017,T,Manual,Petrol,1st Owner,72762,289000
33, Maruti BREZZA,2022,ZXI SMART HYBRID ,Manual,Petrol,1st Owner,19466,1248000
34, Honda Brio,2011,V MT,Manual,Petrol,1st Owner,61979,263000
35, Maruti Dzire,2017,VXI,Manual,Petrol,1st Owner,86017,622000
36, Honda City,2019,ZX CVT,Automatic,Petrol,1st Owner,96940,928000
37, Maruti Celerio,2016,VXI AMT,Automatic,Petrol,2nd Owner,27222,426000
38, Datsun Redi Go,2019,A,Manual,Petrol,2nd Owner,32329,295000
39, Mahindra XUV500,2016,W8,Manual,Diesel,1st Owner,87604,896000
40, Maruti BREZZA,2023,ZXI SMART HYBRID ,Manual,Petrol,1st Owner,6604,1275000
41, Hyundai Verna,2016,1.6 CRDI SX,Manual,Diesel,2nd Owner,65942,713350
42, Honda City,2017,1.5L I-VTEC V MT,Manual,Petrol,1st Owner,21142,808000
43, Maruti Celerio X,2018,Zxi,Manual,Petrol,1st Owner,54156,428000
44, Tata Tiago,2020,XZ PLUS PETROL,Manual,Petrol,1st Owner,31781,572000
45, Hyundai i20,2013,SPORTZ 1.4 CRDI,Manual,Diesel,1st Owner,122498,409000
46, Maruti Ciaz,2021,ZETA 1.5 SHVS MT PETROL,Manual,Petrol,1st Owner,9849,887000
